timestep,true_position,predicted_position,trajectory_error,path_error,nees,train_samples,test_id
0.0,[816.34293248 619.86348089   0.        ],[816.34293248 619.86348089   0.        ],[0. 0. 0.],[0. 0. 0.],0.0,413,0
310.0,[3408.04621064 2889.02298827  310.        ],[3533.85622171 2951.26997666  310.        ],[125.81001108  62.24698839   0.        ],[ 29.81700331 -20.02534767 -10.        ],0.0720372936640975,413,0
370.0,[3937.92698681 3387.17733091  370.        ],[4110.9091027 3448.9922985  370.       ],[172.98211589  61.81496759   0.        ],[ 77.42836638 -21.04131574 -10.        ],0.12751322655837105,413,0
439.0,[4552.96717344 3955.6531861   439.        ],[4771.2322693  4026.81078216  440.        ],[218.26509586  71.15759606   1.        ],[ 31.0531637  -93.57125573 -19.        ],0.20741256531011218,413,0
613.0,[6248.36301823 5511.64812997  613.        ],[6344.79607022 5448.51731289  610.        ],[ 96.43305199 -63.13081709  -3.        ],[ 96.43305199 -63.13081709  -3.        ],0.08394470349228055,413,0
740.0,[7221.48090024 6425.63801786  740.        ],[7517.12055079 6582.61549798  740.        ],[295.63965055 156.97748012   0.        ],[  32.07515361 -106.33471403  -30.        ],0.4622372970125695,413,0
1039.0,[9898.52912134 8856.34538047 1039.        ],[9945.73307359 9396.66962383 1040.        ],[ 47.20395225 540.32424337   1.        ],[-253.12314015  141.64934145  -39.        ],1.5450657855752983,413,0
1100.0,[10444.18015871  9333.40063236  1100.        ],[10383.21468271 10010.25658572  1100.        ],[-60.965476   676.85595335   0.        ],[-350.98311751  265.64003653  -40.        ],2.8087107107491307,413,0
1161.0,[10990.20226105  9812.14295113  1161.        ],[10807.00371216 10644.07304501  1160.        ],[-183.19854889  831.93009388   -1.        ],[-535.35007077  302.445181    -51.        ],4.921647424709163,413,0
0.0,[18864.94303977    34.62695014     0.        ],[18864.94303977    34.62695014     0.        ],[0. 0. 0.],[0. 0. 0.],0.0,354,1
148.0,[18333.20693874  1056.82361627   148.        ],[18325.20026413  1150.33217396   150.        ],[-8.00667461 93.50855769  2.        ],[28.08253698 16.03588618 -8.        ],0.04354936852214834,354,1
509.0,[17109.99126741  3484.8159171    509.        ],[16967.16408106  4094.82552296   510.        ],[-142.82718635  610.00960586    1.        ],[116.8332546   16.54651571 -69.        ],1.6657573457562762,354,1
729.0,[16486.231054    4890.32486926   729.        ],[16132.05719361  6047.21672563   730.        ],[-3.54173860e+02  1.15689186e+03  1.00000000e+00],[ 110.38723868   81.235299   -119.        ],5.644690106668259,354,1
838.0,[16256.17077303  5561.24327292   838.        ],[15704.96915983  7024.34936568   840.        ],[-551.2016132  1463.10609276    2.        ],[  65.81636666   41.12425878 -158.        ],8.92916551497073,354,1
1090.0,[15726.8465943   7068.22204591  1090.        ],[14777.49849328  9225.79174905  1090.        ],[-949.34810102 2157.56970314    0.        ],[ -21.87743447  -43.87268023 -250.        ],20.88899624826042,354,1
1200.0,[15481.57264959  7730.57519097  1200.        ],[14407.34218346 10179.14696124  1200.        ],[-1074.23046613  2448.57177027     0.        ],[-107.92569803    4.9656507  -280.        ],25.758842513181875,354,1
1250.0,[15365.4293142   8046.32133031  1250.        ],[14215.96462563 10623.029747    1250.        ],[-1149.46468857  2576.70841669     0.        ],[-110.43599591  -41.88147769 -300.        ],26.364242818284534,354,1
1458.0,[14901.0415051  9351.6375095  1458.       ],[13364.87655278 12448.18005068  1460.        ],[-1.53616495e+03  3.09654254e+03  2.00000000e+00],[-155.66038379  -39.25861426 -358.        ],60.38984018421845,354,1
1568.0,[14640.73942913 10020.88760564  1568.        ],[12747.414328   13262.42882171  1570.        ],[-1.89332510e+03  3.24154122e+03  2.00000000e+00],[-127.33932354 -100.67017638 -398.        ],51.32644024030695,354,1
0.0,[  670.14333458 12534.82990923     0.        ],[  670.14333458 12534.82990923     0.        ],[0. 0. 0.],[0. 0. 0.],0.0,243,2
110.0,[ 1121.35833726 11420.6758415    110.        ],[ 1099.08147806 11510.24972545   110.        ],[-22.2768592   89.57388395   0.        ],[16.73665381 -2.04930555 10.        ],0.03435580051025419,243,2
384.0,[2101.15538872 8457.69082774  384.        ],[2125.35408091 9056.13764329  380.        ],[ 24.19869218 598.44681555  -4.        ],[211.29936686 136.66851109  46.        ],1.53075094153126,243,2
420.0,[2199.67313808 8122.69877922  420.        ],[2275.03371036 8686.89051336  420.        ],[ 75.36057228 564.19173414   0.        ],[261.80354949 100.57845441  50.        ],1.512539436231056,243,2
473.0,[2381.30944055 7530.44467661  473.        ],[2461.47668757 8223.27723363  470.        ],[ 80.16724702 692.83255702  -3.        ],[305.86969446 129.37041014  57.        ],2.284602055692196,243,2
730.0,[3637.54989416 4897.22294706  730.        ],[3324.13571291 6014.6302088   730.        ],[-313.41418125 1117.40726174    0.        ],[108.29825267  58.28974406 120.        ],3.2127429309989077,243,2
840.0,[4179.67581432 3734.5892846   840.        ],[3712.65810843 5038.21472155  840.        ],[-467.01770588 1303.62543694    0.        ],[ 53.40748152  11.72334453 160.        ],0.14790908147824705,243,2
945.0,[4705.8459408  2573.39751859  945.        ],[4040.61501731 4223.83475607  940.        ],[-665.23092349 1650.43723748   -5.        ],[-408.98645999 1015.79990504   75.        ],0.7988892833304522,243,2
1017.0,[5032.75417876 1833.87300579 1017.        ],[4296.85948081 3589.19742362 1020.        ],[-735.89469795 1755.32441783    3.        ],[-735.89469795 1755.32441783    3.        ],1.1485357804883176,243,2
0.0,[11870.36836826  4497.04201664     0.        ],[11870.36836826  4497.04201664     0.        ],[0. 0. 0.],[0. 0. 0.],0.0,89,3
76.0,[11016.91893884  4204.39709782    76.        ],[11022.14965001  4233.49834118    80.        ],[ 5.23071116 29.10124336  4.        ],[ 5.23071116 29.10124336  4.        ],0.003550343465572916,89,3
150.0,[10237.68250329  3953.56817255   150.        ],[10282.66594767  4005.78281226   150.        ],[44.98344438 52.21463971  0.        ],[-60.63716601  19.90684557  10.        ],0.019026338093964715,89,3
331.0,[8196.82517208 3284.73425031  331.        ],[8387.33994272 3430.0030182   330.        ],[190.51477064 145.26876789  -1.        ],[-19.43773405  81.42755281  19.        ],0.22395067206873048,89,3
519.0,[5988.98860468 2574.16706502  519.        ],[6380.01997118 2818.08153136  520.        ],[391.03136651 243.91446634   1.        ],[-34.3176426  114.08379743  41.        ],0.7932528065199439,89,3
701.0,[3855.36503114 1905.46274213  701.        ],[4482.73215534 2237.02856712  700.        ],[627.3671242  331.56582499  -1.        ],[  2.77021413 138.06963566  59.        ],1.8403579955105476,89,3
881.0,[1721.7414576  1236.82123501  881.        ],[2604.01601369 1651.24414868  880.        ],[882.27455608 414.42291367  -1.        ],[-57.31417143 117.82891313  89.        ],3.319683553624588,89,3
997.0,[311.69457422 735.38131953 997.        ],[1352.47210139 1256.06041256 1000.        ],[1040.77752717  520.67909303    3.        ],[1040.77752717  520.67909303    3.        ],4.688339757471081,89,3
0.0,[18111.68115207   394.67377069     0.        ],[18111.68115207   394.67377069     0.        ],[0. 0. 0.],[0. 0. 0.],0.0,500,4
57.0,[17856.2029207    870.73117585    57.        ],[17856.0731136    966.43768754    60.        ],[-0.1298071  95.70651169  3.        ],[41.63000168  2.14169371 -7.        ],0.03859642920444731,500,4
199.0,[17231.14397989  1990.27992888   199.        ],[17269.74731689  2276.47980267   200.        ],[ 38.603337   286.19987379   1.        ],[125.21754891  93.40672099 -19.        ],0.36170907457844786,500,4
367.0,[16499.03279544  3360.850569     367.        ],[16513.875632    3957.94893496   370.        ],[ 14.84283656 597.09836596   3.        ],[231.60956753 113.15574266 -47.        ],1.5788923814961546,500,4
